"temperatura_LPS22HB","humidity","speed_acceleration","pos_3d_acceleration","number_of_satellites","gps_fix","","accelerometer","gyro_accelerometer","angular_velocity","heading","gps_ecef","ecef_velocity","pressure","temperatura_HTS221","time","timeStamp"
36.59999847,71.09999847,151,3764,11,3,"{""x"":6722,""y"":-4547,""z"":361}","{""x"":-284,""y"":324,""z"":-3}","{""x"":-121,""y"":-88,""z"":-219}","{""x"":870450,""y"":24570,""z"":-24990}","{""x"":214,""y"":-156,""z"":424}","{""x"":400009273,""y"":-436292956,""z"":-237077915}","{""x"":6722,""y"":-4547,""z"":361}",892.25,37,204,6727
36.59999847,71.09999847,168,3248,10,3,"{""x"":6410,""y"":-4246,""z"":334}","{""x"":-206,""y"":542,""z"":-77}","{""x"":-108,""y"":-246,""z"":-187}","{""x"":804650,""y"":23800,""z"":-21280}","{""x"":222,""y"":-118,""z"":463}","{""x"":400015039,""y"":-436296429,""z"":-237077381}","{""x"":6410,""y"":-4246,""z"":334}",891.8400269,37,202,7137
36.59999847,71.09999847,168,3248,10,3,"{""x"":6410,""y"":-4246,""z"":334}","{""x"":-210,""y"":94,""z"":-253}","{""x"":-63,""y"":-93,""z"":-133}","{""x"":768180,""y"":20790,""z"":-17920}","{""x"":207,""y"":-66,""z"":484}","{""x"":400015039,""y"":-436296429,""z"":-237077381}","{""x"":6410,""y"":-4246,""z"":334}",890.0300293,37,219,7561
36.59999847,71.09999847,182,2849,9,3,"{""x"":6122,""y"":-4049,""z"":212}","{""x"":-116,""y"":-264,""z"":-385}","{""x"":-68,""y"":-33,""z"":-244}","{""x"":737940,""y"":12250,""z"":-17010}","{""x"":192,""y"":49,""z"":462}","{""x"":400020385,""y"":-436299532,""z"":-237076820}","{""x"":6122,""y"":-4049,""z"":212}",888.4400024,37,229,8000
36.59999847,71.09999847,182,2849,9,3,"{""x"":6122,""y"":-4049,""z"":212}","{""x"":-256,""y"":406,""z"":-116}","{""x"":-61,""y"":-71,""z"":-200}","{""x"":694470,""y"":7210,""z"":-22470}","{""x"":189,""y"":112,""z"":369}","{""x"":400020385,""y"":-436299532,""z"":-237076820}","{""x"":6122,""y"":-4049,""z"":212}",886.5300293,37,193,8400
36.59999847,71.09999847,192,2764,7,3,"{""x"":5919,""y"":-4048,""z"":151}","{""x"":-217,""y"":43,""z"":-112}","{""x"":-43,""y"":-170,""z"":-206}","{""x"":655900,""y"":11480,""z"":-31360}","{""x"":190,""y"":-10,""z"":193}","{""x"":400026226,""y"":-436303388,""z"":-237076544}","{""x"":5919,""y"":-4048,""z"":151}",886.539978,37,205,8814
36.59999847,71.09999847,192,2764,7,3,"{""x"":5919,""y"":-4048,""z"":151}","{""x"":-124,""y"":293,""z"":-182}","{""x"":-36,""y"":-60,""z"":-94}","{""x"":624820,""y"":25760,""z"":-24850}","{""x"":195,""y"":-204,""z"":330}","{""x"":400026226,""y"":-436303388,""z"":-237076544}","{""x"":5919,""y"":-4048,""z"":151}",886.9500122,37,193,9214
36.59999847,71.09999847,192,2764,7,3,"{""x"":5919,""y"":-4048,""z"":151}","{""x"":-260,""y"":281,""z"":-34}","{""x"":-15,""y"":-146,""z"":-162}","{""x"":596330,""y"":12320,""z"":-7630}","{""x"":184,""y"":39,""z"":501}","{""x"":400026226,""y"":-436303388,""z"":-237076544}","{""x"":5919,""y"":-4048,""z"":151}",885.0599976,37,204,9609
36.5,71.09999847,192,2764,7,3,"{""x"":5919,""y"":-4048,""z"":151}","{""x"":254,""y"":-186,""z"":242}","{""x"":166,""y"":-125,""z"":190}","{""x"":555170,""y"":1680,""z"":-24640}","{""x"":169,""y"":19,""z"":195}","{""x"":400026226,""y"":-436303388,""z"":-237076544}","{""x"":5919,""y"":-4048,""z"":151}",884.6400146,37,202,10020
36.5,71.09999847,192,2764,7,3,"{""x"":5919,""y"":-4048,""z"":151}","{""x"":-245,""y"":82,""z"":-182}","{""x"":-58,""y"":118,""z"":-74}","{""x"":448000,""y"":15400,""z"":-20370}","{""x"":178,""y"":-183,""z"":435}","{""x"":400026226,""y"":-436303388,""z"":-237076544}","{""x"":5919,""y"":-4048,""z"":151}",885.1300049,37,202,10420
