Preamble,Status,w1,w2,w3,a1,a2,a3,Pressure,Temperature,GPS Fix,Latitude,Longitude,Elevation,Speed,Number of Satellites,UTC Time,UTC Date,Timestamp
JUPITER,0,-121.29058074951172,224.35670471191406,-82.87873077392578,-1.17645263671875,-1.6217041015625,-0.5377197265625,85499.9375,31.3799991607666,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204530,180224,653730
JUPITER,0,-100.61492156982422,217.10877990722656,-75.93598175048828,0.20318603515625,-1.4144287109375,-1.3106689453125,85543.515625,31.3700008392334,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204530,180224,653730
JUPITER,0,72.43500518798828,248.3511505126953,1.670220971107483,-0.43280029296875,-0.9678955078125,-0.9600830078125,85946.3125,33.25,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204530,180224,653970
JUPITER,0,179.80348205566406,248.3511505126953,91.02568817138672,1.47918701171875,-2.2845458984375,-2.9730224609375,84649.953125,31.280000686645508,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204530,180224,653970
JUPITER,0,186.56312561035156,189.8947296142578,93.86382293701172,1.9739990234375,-2.245361328125,-2.9730224609375,84426.515625,31.18000030517578,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204530,180224,653970
JUPITER,0,172.0443878173828,248.3511505126953,64.46013641357422,1.59552001953125,-2.3197021484375,-2.9730224609375,84491.9765625,31.149999618530273,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204530,180224,653970
JUPITER,0,171.3882598876953,233.7942657470703,85.94451141357422,1.9739990234375,-2.314453125,-2.9730224609375,84424.0625,31.25,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204530,180224,653970
JUPITER,0,167.68800354003906,248.3511505126953,101.11174774169922,1.71295166015625,-2.132080078125,-1.923828125,84271.421875,31.18000030517578,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204531,180224,653970
JUPITER,0,78.63007354736328,248.3511505126953,101.47795867919922,1.9739990234375,-1.244140625,-2.9730224609375,84530.1796875,31.639999389648438,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204531,180224,653970
JUPITER,0,-40.53343963623047,94.86299133300781,69.90752410888672,1.9739990234375,-1.0362548828125,-2.12939453125,84690.8125,33.18000030517578,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204531,180224,654197
JUPITER,0,-147.61961364746094,70.41078186035156,-85.14466094970703,0.21234130859375,-2.195556640625,-1.9395751953125,84872.984375,31.639999389648438,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204531,180224,654197
JUPITER,0,-151.54112243652344,124.28956604003906,-88.73047637939453,0.05963134765625,-2.157958984375,-2.6983642578125,84882.09375,31.649999618530273,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204531,180224,654197
JUPITER,0,-142.38584899902344,85.28810119628906,-89.59259796142578,0.02276611328125,-2.12353515625,-2.174560546875,84808.1640625,31.68000030517578,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204531,180224,654197
JUPITER,0,-121.06932830810547,204.6652374267578,-107.41486358642578,-0.28131103515625,-1.888671875,-0.2503662109375,85053.171875,31.399999618530273,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204531,180224,654197
JUPITER,0,-114.53856658935547,200.09523010253906,-113.89984893798828,0.02313232421875,-1.9144287109375,-0.427978515625,85003.1953125,31.420000076293945,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204531,180224,654197
JUPITER,0,-71.73003387451172,209.0139923095703,-128.70849609375,0.39300537109375,-1.6400146484375,-0.700927734375,85338.703125,33.18000030517578,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204532,180224,654431
JUPITER,0,-14.479056358337402,38.97767639160156,-138.10028076171875,-0.08428955078125,-1.6446533203125,-0.9598388671875,84833.0,31.31999969482422,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204532,180224,654431
JUPITER,0,-11.274710655212402,34.03382873535156,-138.48175048828125,-0.14666748046875,-1.634033203125,-0.9608154296875,84792.234375,31.329999923706055,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204532,180224,654431
