index,preamble,w_x,w_y,w_z,a_x,a_y,a_z,pressure,temperature,gpsFix,latitude,longitude,elevation,speed,numbSat,UTCTime,UTCDate,timeStamp
67,JUPITER,12.4381189346313,26.1081314086914,-2.21946191787719,-6.5989990234375,16.013916015625,4.103271484375,85015.9375,39.4399986267089,2,32.939167022705,-106.911460876464,1393.5,1.83399999141693,12,153130,200624,2205085
68,JUPITER,43.474494934082,29.9228286743164,-7.31589746475219,-5.1400146484375,16.013916015625,2.930419921875,84989.109375,39.4500007629394,2,32.939167022705,-106.911460876464,1393.5,1.83399999141693,12,153130,200624,2205085
69,JUPITER,-5.41466426849365,5.08152055740356,-10.33713722229,-4.0823974609375,16.013916015625,7.721435546875,84967.796875,39.4500007629394,2,32.939167022705,-106.911460876464,1393.5,1.83399999141693,12,153130,200624,2205085
70,JUPITER,19.426643371582,35.9653091430664,-9.51316261291503,-6.8538818359375,16.013916015625,9.035888671875,84936.140625,39.4599990844726,2,32.939167022705,-106.911460876464,1393.5,1.83399999141693,12,153130,200624,2205085
71,JUPITER,42.345344543457,33.0051040649414,24.9106655120849,-7.3470458984375,16.013916015625,4.129638671875,84704.34375,39.4700012207031,2,32.939167022705,-106.911460876464,1393.5,15.4809999465942,12,153130,200624,2205085
72,JUPITER,30.382453918457,55.2219009399414,18.4409389495849,-6.3812255859375,16.013916015625,7.969482421875,84450.015625,39.4799995422363,2,32.939167022705,-106.911460876464,1402.69995117187,15.4809999465942,12,153132,200624,2205290
73,JUPITER,3.09974002838134,123.855934143066,22.2861537933349,-6.5960693359375,16.013916015625,4.198974609375,81954.34375,39.4099998474121,2,32.939167022705,-106.911460876464,1402.69995117187,15.4809999465942,12,153132,200624,2205290
74,JUPITER,33.678352355957,173.78269958496,37.2397651672363,-4.1292724609375,16.013916015625,7.978271484375,81904.078125,39.4300003051757,2,32.939167022705,-106.911460876464,1402.69995117187,15.4809999465942,12,153132,200624,2205290
75,JUPITER,58.672248840332,162.06394958496,28.3896694183349,-1.6517333984375,16.013916015625,-4.316650390625,81862.40625,39.4199981689453,2,32.939167022705,-106.911460876464,1402.69995117187,15.4809999465942,12,153132,200624,2205290
76,JUPITER,-42.9512863159179,140.243881225585,-0.418924808502197,-3.0863037109375,16.013916015625,-0.511962890625,81824.6640625,39.4300003051757,2,32.939167022705,-106.911460876464,1402.69995117187,15.4809999465942,12,153132,200624,2205290
77,JUPITER,-1.32530879974365,136.06297302246,-5.21018457412719,-5.0306396484375,16.013916015625,6.111083984375,81675.84375,39.4399986267089,2,32.9392127990722,-106.911460876464,1402.69995117187,15.4809999465942,12,153132,200624,2205290
78,JUPITER,38.500129699707,128.98289489746,53.5971870422363,-3.1556396484375,16.013916015625,2.260498046875,81245.953125,39.4399986267089,2,32.9392127990722,-106.911460876464,1402.69995117187,15.4809999465942,12,153132,200624,2205579
79,JUPITER,-30.1949386596679,373.916961669921,9.59084129333496,-3.2757568359375,10.990966796875,1.703857421875,79426.625,39.4000015258789,2,32.9392127990722,-106.911460876464,1402.69995117187,15.4809999465942,12,153132,200624,2205579
80,JUPITER,0.475228309631347,400.863983154296,-1.51755762100219,-1.5863037109375,9.786865234375,4.115966796875,79403.71875,39.4199981689453,2,32.9392127990722,-106.911460876464,1402.69995117187,172.643997192382,12,153132,200624,2205579
81,JUPITER,-32.0565109252929,390.915252685546,9.56032371520996,-4.6302490234375,12.289794921875,0.992919921875,79381.25,39.4099998474121,2,32.9392127990722,-106.911460876464,1671,172.643997192382,10,153133,200624,2205579
82,JUPITER,4.93079471588134,376.297332763671,4.8606162071228,-3.0247802734375,8.746826171875,0.830810546875,79360.4921875,39.4199981689453,2,32.9392127990722,-106.911460876464,1671,172.643997192382,10,153133,200624,2205579
83,JUPITER,12.6517419815063,345.169403076171,37.6059761047363,-7.3939208984375,8.240966796875,-0.060791015625,79218.21875,39.4199981689453,2,32.9392127990722,-106.911460876464,1671,172.643997192382,10,153133,200624,2205579
84,JUPITER,21.745979309082,421.707489013671,85.6101303100586,-7.1888427734375,7.421630859375,1.654052734375,79044.28125,39.4300003051757,2,32.9392127990722,-106.911460876464,1671,172.643997192382,10,153133,200624,2205579
85,JUPITER,-0.989615440368652,404.465057373046,13.0393276214599,-4.8450927734375,4.675537109375,3.651123046875,78926.046875,39.4300003051757,2,32.9392127990722,-106.911460876464,1671,172.643997192382,10,153133,200624,2205824
86,JUPITER,17.351448059082,255.234115600585,5.3794150352478,-4.1351318359375,-7.508056640625,-2.357666015625,77555.640625,39.349998474121,2,32.9392127990722,-106.911460876464,1671,172.643997192382,10,153133,200624,2205824
87,JUPITER,-8.80211544036865,257.950164794921,-5.17966699600219,-5.0804443359375,-7.360595703125,-1.011962890625,77543.0859375,39.3600006103515,2,32.9392127990722,-106.911460876464,1671,172.643997192382,10,153133,200624,2205824
88,JUPITER,-0.470816612243652,248.30662536621,21.4316616058349,-6.8763427734375,-7.931884765625,0.785888671875,77518.4765625,39.3600006103515,2,32.9388313293457,-106.91111755371,1671,172.643997192382,10,153133,200624,2205824
89,JUPITER,-6.48277950286865,256.210662841796,39.7422065734863,-6.5013427734375,-7.525634765625,0.210693359375,77499.34375,39.3600006103515,2,32.9388313293457,-106.91111755371,1671,172.643997192382,10,153133,200624,2205824
90,JUPITER,34.654914855957,246.96385192871,43.5263862609863,-2.1634521484375,-7.899658203125,1.574951171875,77479.671875,39.3800010681152,2,32.9388313293457,-106.91111755371,1671,172.643997192382,10,153133,200624,2205824
91,JUPITER,38.255989074707,234.39060974121,35.0730171203613,-2.6341552734375,-7.893798828125,-3.010986328125,77468.7421875,39.3800010681152,0,32.9388313293457,-106.91111755371,1671,172.643997192382,0,153134,200624,2205824
92,JUPITER,39.568244934082,242.14207458496,49.7824897766113,-4.4124755859375,-7.706298828125,-0.626220703125,77420.640625,39.3899993896484,0,32.9388313293457,-106.91111755371,1671,172.643997192382,0,153134,200624,2206045
93,JUPITER,4.50354862213134,159.958236694335,3.0600790977478,-4.5833740234375,-6.174072265625,-4.223876953125,76220.078125,39.310001373291,0,32.9388313293457,-106.91111755371,1671,172.643997192382,0,153134,200624,2206045
